Property,Unit Number,Unit Type,Occupancy Status,Asking Rent,Market Rent,Days on Market,Inquiries,Showings,Application Received,Lease Signed,Marketing Start Date,Lease End Date,Leasing Agent,Notes
Riverside Tower,RT-001,1BR,Leased,1437.0,1389.0,15,10,6,Yes,Yes,2026-04-28,2026-09-26,Jamie Chen,
Riverside Tower,RT-002,2BR,Leased,2034.0,1953.0,25,3,3,Yes,Yes,2026-04-20,2027-04-28,Jamie Chen,
Riverside Tower,RT-003,Studio,Leased,1138.0,1202.0,32,5,5,Yes,Yes,2026-04-15,2026-08-12,Jamie Chen,
Riverside Tower,RT-004,1BR,Leased,1435.0,1512.0,43,4,2,Yes,Yes,2026-04-06,2027-04-30,Jamie Chen,
Riverside Tower,RT-005,1BR,Active for Lease,1413.0,1578.0,12,10,4,No,No,2026-05-03,,Jamie Chen,
Riverside Tower,RT-006,Studio,Leased,1051.0,1078.0,40,10,8,Yes,Yes,2026-04-02,2027-02-25,Jamie Chen,
Riverside Tower,RT-007,3BR,Leased,2691.0,2620.0,28,11,10,Yes,Yes,2026-04-22,2026-11-22,Jamie Chen,
Riverside Tower,RT-008,Studio,Leased,985.0,1266.0,15,5,2,Yes,Yes,2026-05-03,2026-11-28,Jamie Chen,
Riverside Tower,RT-009,2BR,Leased,1832.0,1863.0,11,11,9,Yes,Yes,2026-05-08,2027-03-13,Jamie Chen,
Riverside Tower,RT-010,Studio,Active for Lease,1358.0,1138.0,48,4,2,Yes,No,2026-03-31,,Jamie Chen,Price above market
Riverside Tower,RT-011,2BR,Leased,2200.0,2150.0,13,5,4,Yes,Yes,2026-05-01,2027-06-05,Jamie Chen,
Riverside Tower,RT-012,1BR,Leased,1767.0,1679.0,43,6,6,Yes,Yes,2026-04-01,2026-11-25,Jamie Chen,
Riverside Tower,RT-013,1BR,Leased,1724.0,1550.0,32,6,3,Yes,Yes,2026-04-18,,Jamie Chen,
Riverside Tower,RT-014,1BR,Leased,1158.0,1360.0,31,11,6,Yes,Yes,2026-04-17,2027-01-29,Jamie Chen,
Riverside Tower,RT-015,1BR,Leased,1298.0,1398.0,28,11,5,Yes,Yes,2026-04-22,2026-10-09,Jamie Chen,
Downtown Plaza,DP-001,1BR,Active for Lease,1571.0,1449.0,105,4,1,No,No,2026-02-03,,Alex Rivera,Extended vacancy
Downtown Plaza,DP-002,1BR,Active for Lease,1456.0,1492.0,6,0,0,No,No,2026-05-08,,Alex Rivera,Low inquiry volume
Downtown Plaza,DP-003,2BR,Leased,2032.0,2148.0,28,10,4,Yes,Yes,2026-04-22,,Alex Rivera,
Downtown Plaza,DP-004,Studio,Leased,1406.0,1393.0,63,10,6,Yes,Yes,2026-03-11,,Alex Rivera,
Downtown Plaza,DP-005,1BR,Leased,1287.0,1405.0,98,7,4,Yes,Yes,2026-02-08,,Alex Rivera,
Downtown Plaza,DP-006,1BR,Active for Lease,1437.0,1468.0,41,7,2,No,No,2026-04-06,,Alex Rivera,
Downtown Plaza,DP-007,3BR,Leased,2611.0,2518.0,12,6,5,Yes,Yes,2026-05-06,2027-02-27,Alex Rivera,
Downtown Plaza,DP-008,1BR,Leased,1474.0,1622.0,39,11,5,Yes,Yes,2026-04-08,2026-11-26,Alex Rivera,
Downtown Plaza,DP-009,1BR,Active for Lease,1564.0,1391.0,11,5,2,No,No,2026-05-07,,Alex Rivera,Price above market
Downtown Plaza,DP-010,2BR,Active for Lease,1829.0,2054.0,55,8,4,No,No,2026-03-26,,Alex Rivera,
Downtown Plaza,DP-011,Studio,Leased,1138.0,1283.0,53,3,3,Yes,Yes,2026-03-24,2027-01-24,Alex Rivera,
Downtown Plaza,DP-012,3BR,Leased,2689.0,2598.0,37,6,6,Yes,Yes,2026-04-11,2026-11-26,Alex Rivera,
Downtown Plaza,DP-013,Studio,Active for Lease,1112.0,1006.0,108,8,2,No,No,2026-01-26,,Alex Rivera,Price above market
Downtown Plaza,DP-014,Studio,Active for Lease,1313.0,1306.0,37,9,4,No,No,2026-04-12,,Alex Rivera,
Downtown Plaza,DP-015,3BR,Leased,2431.0,2427.0,49,6,2,Yes,Yes,2026-03-30,2027-03-09,Alex Rivera,
Eastside Apartments,EA-001,1BR,Leased,1471.0,1587.0,26,5,2,Yes,Yes,2026-04-19,2026-12-21,Morgan Lee,
Eastside Apartments,EA-002,1BR,Leased,1406.0,1476.0,37,10,6,Yes,Yes,2026-04-09,2026-08-17,Morgan Lee,
Eastside Apartments,EA-003,1BR,Leased,1550.0,1609.0,39,9,9,Yes,Yes,2026-04-10,2027-04-22,Morgan Lee,
Eastside Apartments,EA-004,1BR,Leased,1701.0,1544.0,32,9,3,Yes,Yes,2026-04-09,2027-02-02,Morgan Lee,
Eastside Apartments,EA-005,3BR,Leased,2513.0,2437.0,5,4,3,Yes,Yes,2026-05-07,2026-10-14,Morgan Lee,
Eastside Apartments,EA-006,2BR,Active for Lease,2143.0,2087.0,120,12,3,Yes,No,2026-01-16,,Morgan Lee,Extended vacancy
Eastside Apartments,EA-007,Studio,Leased,1360.0,1270.0,34,7,3,Yes,Yes,2026-04-11,2026-06-28,Morgan Lee,
Eastside Apartments,EA-008,2BR,Active for Lease,1917.0,1987.0,62,17,9,No,No,2026-03-18,,Morgan Lee,Extended vacancy
Eastside Apartments,EA-009,Studio,Leased,1305.0,1208.0,54,5,5,Yes,Yes,2026-03-27,2026-07-21,Morgan Lee,
Eastside Apartments,EA-010,2BR,Active for Lease,2080.0,2013.0,44,11,7,Yes,No,2026-04-05,,Morgan Lee,
Eastside Apartments,EA-011,Studio,Active for Lease,1213.0,1046.0,97,6,2,No,No,2026-02-05,,Morgan Lee,Price above market
Eastside Apartments,EA-012,2BR,Leased,1991.0,2085.0,13,10,4,Yes,Yes,2026-05-05,2026-12-12,Morgan Lee,
Eastside Apartments,EA-013,1BR,Leased,1779.0,1588.0,36,7,5,Yes,Yes,2026-04-08,2027-06-22,Morgan Lee,
Eastside Apartments,EA-014,2BR,Active for Lease,1880.0,1941.0,66,8,3,Yes,No,2026-03-12,,Morgan Lee,Extended vacancy
Eastside Apartments,EA-015,Studio,Active for Lease,1213.0,1232.0,87,5,1,No,No,2026-02-18,,Morgan Lee,Extended vacancy
